TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;06033000100;06;033;1.00;1
TRACT;06033000300;06;033;3.00;1
TRACT;06033000401;06;033;4.01;1
TRACT;06033000402;06;033;4.02;1
TRACT;06033000501;06;033;5.01;1
TRACT;06033000502;06;033;5.02;1
TRACT;06033000601;06;033;6.01;1
TRACT;06033000602;06;033;6.02;1
TRACT;06033000702;06;033;7.02;1
TRACT;06033000703;06;033;7.03;1
TRACT;06033000704;06;033;7.04;1
TRACT;06033000801;06;033;8.01;1
TRACT;06033000802;06;033;8.02;1
TRACT;06033000901;06;033;9.01;1
TRACT;06033000902;06;033;9.02;1
TRACT;06033001000;06;033;10.00;1
TRACT;06033001101;06;033;11.01;1
TRACT;06033001102;06;033;11.02;1
TRACT;06033001200;06;033;12.00;1
TRACT;06033001301;06;033;13.01;1
TRACT;06033001302;06;033;13.02;1
