TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;06113010102;06;113;101.02;1
TRACT;06113010103;06;113;101.03;1
TRACT;06113010104;06;113;101.04;1
TRACT;06113010105;06;113;101.05;1
TRACT;06113010201;06;113;102.01;1
TRACT;06113010203;06;113;102.03;1
TRACT;06113010204;06;113;102.04;1
TRACT;06113010310;06;113;103.10;1
TRACT;06113010312;06;113;103.12;1
TRACT;06113010313;06;113;103.13;1
TRACT;06113010314;06;113;103.14;1
TRACT;06113010315;06;113;103.15;1
TRACT;06113010401;06;113;104.01;1
TRACT;06113010402;06;113;104.02;1
TRACT;06113010501;06;113;105.01;1
TRACT;06113010505;06;113;105.05;1
TRACT;06113010508;06;113;105.08;1
TRACT;06113010509;06;113;105.09;1
TRACT;06113010510;06;113;105.10;1
TRACT;06113010511;06;113;105.11;1
TRACT;06113010512;06;113;105.12;1
TRACT;06113010513;06;113;105.13;1
TRACT;06113010602;06;113;106.02;1
TRACT;06113010605;06;113;106.05;1
TRACT;06113010607;06;113;106.07;1
TRACT;06113010608;06;113;106.08;1
TRACT;06113010609;06;113;106.09;1
TRACT;06113010610;06;113;106.10;1
TRACT;06113010611;06;113;106.11;1
TRACT;06113010701;06;113;107.01;1
TRACT;06113010703;06;113;107.03;1
TRACT;06113010704;06;113;107.04;1
TRACT;06113010800;06;113;108.00;1
TRACT;06113010901;06;113;109.01;1
TRACT;06113010902;06;113;109.02;1
TRACT;06113011001;06;113;110.01;1
TRACT;06113011002;06;113;110.02;1
TRACT;06113011101;06;113;111.01;1
TRACT;06113011102;06;113;111.02;1
TRACT;06113011103;06;113;111.03;1
TRACT;06113011203;06;113;112.03;1
TRACT;06113011204;06;113;112.04;1
TRACT;06113011207;06;113;112.07;1
TRACT;06113011208;06;113;112.08;1
TRACT;06113011209;06;113;112.09;1
TRACT;06113011210;06;113;112.10;1
TRACT;06113011211;06;113;112.11;1
TRACT;06113011301;06;113;113.01;1
TRACT;06113011302;06;113;113.02;1
TRACT;06113011303;06;113;113.03;1
TRACT;06113011304;06;113;113.04;1
TRACT;06113011400;06;113;114.00;1
TRACT;06113011500;06;113;115.00;1
