"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment","95% Confidence Interval","Confidence Interval Low","Confidence Interval High",
"06","California","06037403401","Los Angeles County, CA - 06037403401","2020","17.0%","","(15.2% - 19.0%)","15.2%","19.0%",
"06","California","06037403402","Los Angeles County, CA - 06037403402","2020","19.6%","","(17.5% - 21.8%)","17.5%","21.8%",
"06","California","06037403403","Los Angeles County, CA - 06037403403","2020","16.1%","","(13.8% - 18.5%)","13.8%","18.5%",
"06","California","06037403404","Los Angeles County, CA - 06037403404","2020","17.4%","","(15.2% - 20.0%)","15.2%","20.0%",
"06","California","06037403405","Los Angeles County, CA - 06037403405","2020","16.7%","","(14.6% - 19.3%)","14.6%","19.3%",
"06","California","06037403406","Los Angeles County, CA - 06037403406","2020","19.3%","","(17.5% - 21.3%)","17.5%","21.3%",
"06","California","06037403407","Los Angeles County, CA - 06037403407","2020","14.4%","","(12.5% - 16.7%)","12.5%","16.7%",
"06","California","06037403408","Los Angeles County, CA - 06037403408","2020","17.5%","","(15.3% - 19.9%)","15.3%","19.9%",
"06","California","06037403500","Los Angeles County, CA - 06037403500","2020","18.5%","","(16.4% - 20.9%)","16.4%","20.9%",
"06","California","06037403600","Los Angeles County, CA - 06037403600","2020","20.6%","","(19.5% - 21.6%)","19.5%","21.6%",
"06","California","06037403702","Los Angeles County, CA - 06037403702","2020","17.2%","","(15.6% - 19.0%)","15.6%","19.0%",
"06","California","06037403703","Los Angeles County, CA - 06037403703","2020","18.6%","","(17.5% - 19.9%)","17.5%","19.9%",
"06","California","06037403721","Los Angeles County, CA - 06037403721","2020","21.7%","","(20.7% - 22.8%)","20.7%","22.8%",
"06","California","06037403722","Los Angeles County, CA - 06037403722","2020","22.4%","","(21.1% - 23.9%)","21.1%","23.9%",
"06","California","06037403801","Los Angeles County, CA - 06037403801","2020","19.6%","","(18.4% - 20.9%)","18.4%","20.9%",
"06","California","06037403802","Los Angeles County, CA - 06037403802","2020","20.1%","","(19.0% - 21.2%)","19.0%","21.2%",
"06","California","06037403901","Los Angeles County, CA - 06037403901","2020","19.2%","","(18.1% - 20.4%)","18.1%","20.4%",
"06","California","06037403902","Los Angeles County, CA - 06037403902","2020","19.1%","","(17.5% - 20.8%)","17.5%","20.8%",
"06","California","06037404000","Los Angeles County, CA - 06037404000","2020","21.5%","","(20.3% - 22.7%)","20.3%","22.7%",
"06","California","06037404100","Los Angeles County, CA - 06037404100","2020","23.3%","","(21.2% - 25.3%)","21.2%","25.3%",
"06","California","06037404201","Los Angeles County, CA - 06037404201","2020","25.0%","","(21.8% - 28.2%)","21.8%","28.2%",
"06","California","06037404202","Los Angeles County, CA - 06037404202","2020","19.6%","","(18.2% - 21.1%)","18.2%","21.1%",
"06","California","06037404301","Los Angeles County, CA - 06037404301","2020","29.5%","","(26.6% - 32.4%)","26.6%","32.4%",
"06","California","06037404302","Los Angeles County, CA - 06037404302","2020","22.1%","","(19.8% - 24.5%)","19.8%","24.5%",
"06","California","06037404401","Los Angeles County, CA - 06037404401","2020","23.3%","","(20.7% - 26.0%)","20.7%","26.0%",
"06","California","06037404402","Los Angeles County, CA - 06037404402","2020","26.2%","","(23.6% - 28.7%)","23.6%","28.7%",
"06","California","06037404501","Los Angeles County, CA - 06037404501","2020","27.1%","","(25.1% - 28.9%)","25.1%","28.9%",
"06","California","06037404503","Los Angeles County, CA - 06037404503","2020","22.9%","","(21.0% - 24.8%)","21.0%","24.8%",
"06","California","06037404504","Los Angeles County, CA - 06037404504","2020","26.7%","","(24.5% - 28.8%)","24.5%","28.8%",
"06","California","06037404600","Los Angeles County, CA - 06037404600","2020","24.5%","","(22.0% - 26.9%)","22.0%","26.9%",
"06","California","06037404701","Los Angeles County, CA - 06037404701","2020","26.6%","","(23.8% - 29.1%)","23.8%","29.1%",
"06","California","06037404702","Los Angeles County, CA - 06037404702","2020","26.0%","","(23.3% - 28.7%)","23.3%","28.7%",
"06","California","06037404703","Los Angeles County, CA - 06037404703","2020","29.0%","","(25.4% - 32.1%)","25.4%","32.1%",
"06","California","06037404801","Los Angeles County, CA - 06037404801","2020","28.2%","","(25.4% - 30.9%)","25.4%","30.9%",
"06","California","06037404802","Los Angeles County, CA - 06037404802","2020","26.3%","","(23.5% - 28.9%)","23.5%","28.9%",
"06","California","06037404803","Los Angeles County, CA - 06037404803","2020","23.8%","","(21.4% - 26.0%)","21.4%","26.0%",
"06","California","06037404901","Los Angeles County, CA - 06037404901","2020","25.4%","","(22.7% - 28.2%)","22.7%","28.2%",
"06","California","06037404902","Los Angeles County, CA - 06037404902","2020","25.8%","","(23.3% - 28.3%)","23.3%","28.3%",
"06","California","06037404903","Los Angeles County, CA - 06037404903","2020","24.3%","","(21.7% - 26.9%)","21.7%","26.9%",
"06","California","06037405001","Los Angeles County, CA - 06037405001","2020","25.0%","","(22.3% - 27.8%)","22.3%","27.8%",
"06","California","06037405002","Los Angeles County, CA - 06037405002","2020","27.7%","","(24.7% - 30.5%)","24.7%","30.5%",
"06","California","06037405101","Los Angeles County, CA - 06037405101","2020","25.2%","","(22.7% - 27.7%)","22.7%","27.7%",
"06","California","06037405102","Los Angeles County, CA - 06037405102","2020","26.8%","","(23.9% - 29.5%)","23.9%","29.5%",
"06","California","06037405201","Los Angeles County, CA - 06037405201","2020","25.7%","","(22.6% - 28.4%)","22.6%","28.4%",
"06","California","06037405202","Los Angeles County, CA - 06037405202","2020","27.6%","","(25.0% - 30.1%)","25.0%","30.1%",
"06","California","06037405203","Los Angeles County, CA - 06037405203","2020","24.3%","","(22.0% - 26.6%)","22.0%","26.6%",
"06","California","06037405301","Los Angeles County, CA - 06037405301","2020","22.8%","","(21.0% - 24.7%)","21.0%","24.7%",
"06","California","06037405302","Los Angeles County, CA - 06037405302","2020","23.4%","","(21.3% - 25.5%)","21.3%","25.5%",
"06","California","06037405400","Los Angeles County, CA - 06037405400","2020","21.0%","","(19.0% - 23.0%)","19.0%","23.0%",
"06","California","06037405500","Los Angeles County, CA - 06037405500","2020","22.4%","","(20.7% - 24.1%)","20.7%","24.1%",
"06","California","06037405600","Los Angeles County, CA - 06037405600","2020","20.3%","","(18.9% - 21.6%)","18.9%","21.6%",
"06","California","06037405701","Los Angeles County, CA - 06037405701","2020","20.3%","","(18.5% - 22.2%)","18.5%","22.2%",
"06","California","06037405702","Los Angeles County, CA - 06037405702","2020","18.4%","","(16.8% - 20.0%)","16.8%","20.0%",
"06","California","06037405800","Los Angeles County, CA - 06037405800","2020","20.1%","","(18.7% - 21.6%)","18.7%","21.6%",
"06","California","06037405900","Los Angeles County, CA - 06037405900","2020","24.4%","","(22.3% - 26.6%)","22.3%","26.6%",
"06","California","06037406000","Los Angeles County, CA - 06037406000","2020","19.6%","","(18.5% - 20.9%)","18.5%","20.9%",
"06","California","06037406101","Los Angeles County, CA - 06037406101","2020","18.8%","","(17.1% - 20.6%)","17.1%","20.6%",
"06","California","06037406102","Los Angeles County, CA - 06037406102","2020","19.9%","","(18.1% - 21.8%)","18.1%","21.8%",
"06","California","06037406200","Los Angeles County, CA - 06037406200","2020","25.7%","","(24.0% - 27.3%)","24.0%","27.3%",
"06","California","06037406300","Los Angeles County, CA - 06037406300","2020","18.5%","","(16.8% - 20.2%)","16.8%","20.2%",
"06","California","06037406402","Los Angeles County, CA - 06037406402","2020","18.4%","","(16.7% - 20.2%)","16.7%","20.2%",
"06","California","06037406411","Los Angeles County, CA - 06037406411","2020","21.2%","","(19.0% - 23.5%)","19.0%","23.5%",
"06","California","06037406412","Los Angeles County, CA - 06037406412","2020","19.3%","","(17.4% - 21.2%)","17.4%","21.2%",
"06","California","06037406500","Los Angeles County, CA - 06037406500","2020","18.9%","","(17.5% - 20.3%)","17.5%","20.3%",
"06","California","06037406601","Los Angeles County, CA - 06037406601","2020","19.9%","","(18.7% - 21.2%)","18.7%","21.2%",
"06","California","06037406602","Los Angeles County, CA - 06037406602","2020","23.0%","","(21.3% - 24.7%)","21.3%","24.7%",
"06","California","06037406701","Los Angeles County, CA - 06037406701","2020","20.1%","","(18.2% - 22.0%)","18.2%","22.0%",
"06","California","06037406702","Los Angeles County, CA - 06037406702","2020","21.3%","","(19.3% - 23.3%)","19.3%","23.3%",
"06","California","06037406800","Los Angeles County, CA - 06037406800","2020","20.8%","","(19.0% - 22.6%)","19.0%","22.6%",
"06","California","06037406901","Los Angeles County, CA - 06037406901","2020","25.1%","","(23.1% - 26.9%)","23.1%","26.9%",
"06","California","06037406902","Los Angeles County, CA - 06037406902","2020","25.4%","","(23.5% - 27.4%)","23.5%","27.4%",
"06","California","06037407001","Los Angeles County, CA - 06037407001","2020","26.9%","","(24.4% - 29.2%)","24.4%","29.2%",
"06","California","06037407002","Los Angeles County, CA - 06037407002","2020","28.1%","","(25.3% - 30.9%)","25.3%","30.9%",
"06","California","06037407101","Los Angeles County, CA - 06037407101","2020","26.9%","","(24.8% - 29.0%)","24.8%","29.0%",
"06","California","06037407102","Los Angeles County, CA - 06037407102","2020","24.8%","","(23.0% - 26.7%)","23.0%","26.7%",
"06","California","06037407200","Los Angeles County, CA - 06037407200","2020","26.6%","","(23.8% - 29.4%)","23.8%","29.4%",
"06","California","06037407301","Los Angeles County, CA - 06037407301","2020","24.2%","","(21.5% - 26.7%)","21.5%","26.7%",
"06","California","06037407302","Los Angeles County, CA - 06037407302","2020","26.4%","","(23.8% - 28.9%)","23.8%","28.9%",
"06","California","06037407400","Los Angeles County, CA - 06037407400","2020","21.0%","","(18.9% - 23.0%)","18.9%","23.0%",
"06","California","06037407501","Los Angeles County, CA - 06037407501","2020","26.0%","","(24.3% - 27.6%)","24.3%","27.6%",
"06","California","06037407502","Los Angeles County, CA - 06037407502","2020","24.1%","","(21.6% - 26.4%)","21.6%","26.4%",
"06","California","06037407601","Los Angeles County, CA - 06037407601","2020","29.4%","","(26.7% - 32.3%)","26.7%","32.3%",
"06","California","06037407602","Los Angeles County, CA - 06037407602","2020","25.1%","","(22.4% - 27.7%)","22.4%","27.7%",
"06","California","06037407701","Los Angeles County, CA - 06037407701","2020","32.1%","","(29.2% - 35.0%)","29.2%","35.0%",
"06","California","06037407702","Los Angeles County, CA - 06037407702","2020","25.5%","","(23.0% - 28.1%)","23.0%","28.1%",
"06","California","06037407801","Los Angeles County, CA - 06037407801","2020","23.5%","","(21.1% - 26.0%)","21.1%","26.0%",
"06","California","06037407802","Los Angeles County, CA - 06037407802","2020","23.4%","","(21.0% - 25.8%)","21.0%","25.8%",
"06","California","06037407900","Los Angeles County, CA - 06037407900","2020","22.0%","","(20.2% - 23.9%)","20.2%","23.9%",
"06","California","06037408003","Los Angeles County, CA - 06037408003","2020","20.6%","","(19.3% - 22.0%)","19.3%","22.0%",
"06","California","06037408004","Los Angeles County, CA - 06037408004","2020","17.5%","","(15.6% - 19.4%)","15.6%","19.4%",
"06","California","06037408005","Los Angeles County, CA - 06037408005","2020","18.0%","","(16.1% - 19.9%)","16.1%","19.9%",
"06","California","06037408006","Los Angeles County, CA - 06037408006","2020","21.2%","","(19.2% - 23.4%)","19.2%","23.4%",
"06","California","06037408133","Los Angeles County, CA - 06037408133","2020","22.2%","","(20.0% - 24.3%)","20.0%","24.3%",
"06","California","06037408134","Los Angeles County, CA - 06037408134","2020","19.3%","","(17.5% - 21.3%)","17.5%","21.3%",
"06","California","06037408135","Los Angeles County, CA - 06037408135","2020","19.6%","","(17.9% - 21.7%)","17.9%","21.7%",
"06","California","06037408136","Los Angeles County, CA - 06037408136","2020","22.5%","","(20.6% - 24.5%)","20.6%","24.5%",
"06","California","06037408137","Los Angeles County, CA - 06037408137","2020","20.4%","","(19.1% - 21.7%)","19.1%","21.7%",
"06","California","06037408138","Los Angeles County, CA - 06037408138","2020","26.3%","","(23.3% - 29.0%)","23.3%","29.0%",
"06","California","06037408139","Los Angeles County, CA - 06037408139","2020","26.2%","","(23.1% - 29.4%)","23.1%","29.4%",
"06","California","06037408140","Los Angeles County, CA - 06037408140","2020","27.4%","","(24.7% - 30.1%)","24.7%","30.1%",
"06","California","06037408141","Los Angeles County, CA - 06037408141","2020","26.2%","","(23.9% - 28.5%)","23.9%","28.5%",
"06","California","06037408202","Los Angeles County, CA - 06037408202","2020","26.8%","","(23.5% - 29.7%)","23.5%","29.7%",
"06","California","06037408211","Los Angeles County, CA - 06037408211","2020","23.5%","","(21.0% - 26.1%)","21.0%","26.1%",
"06","California","06037408212","Los Angeles County, CA - 06037408212","2020","22.2%","","(19.9% - 24.3%)","19.9%","24.3%",
"06","California","06037408301","Los Angeles County, CA - 06037408301","2020","26.2%","","(23.6% - 28.8%)","23.6%","28.8%",
"06","California","06037408302","Los Angeles County, CA - 06037408302","2020","23.4%","","(21.7% - 25.0%)","21.7%","25.0%",
"06","California","06037408303","Los Angeles County, CA - 06037408303","2020","19.9%","","(18.6% - 21.3%)","18.6%","21.3%",
"06","California","06037408401","Los Angeles County, CA - 06037408401","2020","23.2%","","(20.9% - 25.4%)","20.9%","25.4%",
"06","California","06037408402","Los Angeles County, CA - 06037408402","2020","21.0%","","(19.0% - 22.9%)","19.0%","22.9%",
"06","California","06037408501","Los Angeles County, CA - 06037408501","2020","25.1%","","(22.9% - 27.6%)","22.9%","27.6%",
"06","California","06037408503","Los Angeles County, CA - 06037408503","2020","17.8%","","(16.1% - 19.6%)","16.1%","19.6%",
"06","California","06037408504","Los Angeles County, CA - 06037408504","2020","22.5%","","(20.3% - 24.7%)","20.3%","24.7%",
"06","California","06037408505","Los Angeles County, CA - 06037408505","2020","18.7%","","(16.8% - 20.7%)","16.8%","20.7%",
"06","California","06037408623","Los Angeles County, CA - 06037408623","2020","21.7%","","(19.6% - 23.9%)","19.6%","23.9%",
"06","California","06037408624","Los Angeles County, CA - 06037408624","2020","18.4%","","(16.5% - 20.5%)","16.5%","20.5%",
"06","California","06037408625","Los Angeles County, CA - 06037408625","2020","18.9%","","(17.1% - 20.8%)","17.1%","20.8%",
"06","California","06037408626","Los Angeles County, CA - 06037408626","2020","19.7%","","(17.1% - 22.1%)","17.1%","22.1%",
"06","California","06037408627","Los Angeles County, CA - 06037408627","2020","18.7%","","(16.5% - 21.0%)","16.5%","21.0%",
"06","California","06037408628","Los Angeles County, CA - 06037408628","2020","20.7%","","(18.4% - 23.2%)","18.4%","23.2%",
"06","California","06037408629","Los Angeles County, CA - 06037408629","2020","17.6%","","(15.6% - 19.7%)","15.6%","19.7%",
"06","California","06037408630","Los Angeles County, CA - 06037408630","2020","23.4%","","(21.2% - 25.6%)","21.2%","25.6%",
"06","California","06037408631","Los Angeles County, CA - 06037408631","2020","22.8%","","(20.8% - 24.9%)","20.8%","24.9%",
"06","California","06037408703","Los Angeles County, CA - 06037408703","2020","17.2%","","(15.1% - 19.5%)","15.1%","19.5%",
"06","California","06037408704","Los Angeles County, CA - 06037408704","2020","25.7%","","(22.5% - 28.7%)","22.5%","28.7%",
"06","California","06037408705","Los Angeles County, CA - 06037408705","2020","19.8%","","(17.9% - 22.1%)","17.9%","22.1%",
"06","California","06037408706","Los Angeles County, CA - 06037408706","2020","16.9%","","(14.9% - 19.1%)","14.9%","19.1%",
"06","California","06037408722","Los Angeles County, CA - 06037408722","2020","20.4%","","(18.2% - 22.5%)","18.2%","22.5%",
"06","California","06037408723","Los Angeles County, CA - 06037408723","2020","22.0%","","(19.6% - 24.3%)","19.6%","24.3%",
"06","California","06037408724","Los Angeles County, CA - 06037408724","2020","25.8%","","(23.0% - 28.6%)","23.0%","28.6%",
"06","California","06037408800","Los Angeles County, CA - 06037408800","2020","23.8%","","(21.9% - 25.7%)","21.9%","25.7%",
"06","California","06037430002","Los Angeles County, CA - 06037430002","2020","19.9%","","(18.2% - 21.7%)","18.2%","21.7%",
"06","California","06037430003","Los Angeles County, CA - 06037430003","2020","15.4%","","(14.0% - 16.8%)","14.0%","16.8%",
"06","California","06037430101","Los Angeles County, CA - 06037430101","2020","24.6%","","(22.6% - 26.6%)","22.6%","26.6%",
"06","California","06037430102","Los Angeles County, CA - 06037430102","2020","22.7%","","(20.6% - 25.1%)","20.6%","25.1%",
"06","California","06037430200","Los Angeles County, CA - 06037430200","2020","16.4%","","(14.0% - 20.0%)","14.0%","20.0%",
"06","California","06037430301","Los Angeles County, CA - 06037430301","2020","13.4%","","(12.1% - 14.9%)","12.1%","14.9%",
"06","California","06037430302","Los Angeles County, CA - 06037430302","2020","15.8%","","(14.1% - 17.7%)","14.1%","17.7%",
"06","California","06037430400","Los Angeles County, CA - 06037430400","2020","15.7%","","(14.0% - 17.8%)","14.0%","17.8%",
"06","California","06037430501","Los Angeles County, CA - 06037430501","2020","12.0%","","(10.5% - 13.7%)","10.5%","13.7%",
"06","California","06037430502","Los Angeles County, CA - 06037430502","2020","13.6%","","(11.9% - 15.5%)","11.9%","15.5%",
"06","California","06037430600","Los Angeles County, CA - 06037430600","2020","16.0%","","(14.2% - 18.0%)","14.2%","18.0%",
"06","California","06037430701","Los Angeles County, CA - 06037430701","2020","16.3%","","(14.6% - 18.3%)","14.6%","18.3%",
"06","California","06037430721","Los Angeles County, CA - 06037430721","2020","18.8%","","(16.6% - 21.1%)","16.6%","21.1%",
"06","California","06037430723","Los Angeles County, CA - 06037430723","2020","16.2%","","(14.4% - 18.3%)","14.4%","18.3%",
"06","California","06037430724","Los Angeles County, CA - 06037430724","2020","18.3%","","(16.0% - 20.9%)","16.0%","20.9%",
"06","California","06037430801","Los Angeles County, CA - 06037430801","2020","16.6%","","(14.5% - 18.9%)","14.5%","18.9%",
"06","California","06037430802","Los Angeles County, CA - 06037430802","2020","18.6%","","(16.2% - 21.4%)","16.2%","21.4%",
"06","California","06037430803","Los Angeles County, CA - 06037430803","2020","17.6%","","(15.4% - 19.8%)","15.4%","19.8%",
"06","California","06037430901","Los Angeles County, CA - 06037430901","2020","18.2%","","(16.5% - 19.9%)","16.5%","19.9%",
"06","California","06037430902","Los Angeles County, CA - 06037430902","2020","18.2%","","(16.6% - 19.9%)","16.6%","19.9%",
"06","California","06037431001","Los Angeles County, CA - 06037431001","2020","16.9%","","(15.3% - 18.6%)","15.3%","18.6%",
"06","California","06037431002","Los Angeles County, CA - 06037431002","2020","17.7%","","(16.3% - 19.3%)","16.3%","19.3%",
"06","California","06037431100","Los Angeles County, CA - 06037431100","2020","20.1%","","(18.2% - 22.0%)","18.2%","22.0%",
"06","California","06037431200","Los Angeles County, CA - 06037431200","2020","25.1%","","(23.1% - 27.3%)","23.1%","27.3%",
"06","California","06037431300","Los Angeles County, CA - 06037431300","2020","16.2%","","(15.1% - 17.3%)","15.1%","17.3%",
"06","California","06037431400","Los Angeles County, CA - 06037431400","2020","20.0%","","(18.3% - 21.8%)","18.3%","21.8%",
"06","California","06037431501","Los Angeles County, CA - 06037431501","2020","22.9%","","(21.1% - 24.7%)","21.1%","24.7%",
"06","California","06037431502","Los Angeles County, CA - 06037431502","2020","21.6%","","(20.3% - 22.9%)","20.3%","22.9%",
"06","California","06037431600","Los Angeles County, CA - 06037431600","2020","17.8%","","(15.8% - 20.0%)","15.8%","20.0%",
"06","California","06037431700","Los Angeles County, CA - 06037431700","2020","19.0%","","(16.5% - 21.8%)","16.5%","21.8%",
"06","California","06037431800","Los Angeles County, CA - 06037431800","2020","19.8%","","(18.4% - 21.3%)","18.4%","21.3%",
"06","California","06037431900","Los Angeles County, CA - 06037431900","2020","20.8%","","(18.7% - 23.0%)","18.7%","23.0%",
"06","California","06037432000","Los Angeles County, CA - 06037432000","2020","22.8%","","(20.8% - 24.9%)","20.8%","24.9%",
"06","California","06037432101","Los Angeles County, CA - 06037432101","2020","18.1%","","(16.1% - 20.3%)","16.1%","20.3%",
"06","California","06037432102","Los Angeles County, CA - 06037432102","2020","19.6%","","(17.5% - 21.8%)","17.5%","21.8%",
"06","California","06037432201","Los Angeles County, CA - 06037432201","2020","25.0%","","(22.3% - 27.7%)","22.3%","27.7%",
"06","California","06037432202","Los Angeles County, CA - 06037432202","2020","25.4%","","(23.0% - 28.0%)","23.0%","28.0%",
"06","California","06037432300","Los Angeles County, CA - 06037432300","2020","27.5%","","(25.3% - 30.0%)","25.3%","30.0%",
"06","California","06037432401","Los Angeles County, CA - 06037432401","2020","28.7%","","(27.1% - 30.3%)","27.1%","30.3%",
"06","California","06037432402","Los Angeles County, CA - 06037432402","2020","30.8%","","(29.0% - 32.6%)","29.0%","32.6%",
"06","California","06037432500","Los Angeles County, CA - 06037432500","2020","24.3%","","(22.1% - 26.5%)","22.1%","26.5%",
"06","California","06037432601","Los Angeles County, CA - 06037432601","2020","26.7%","","(24.2% - 29.1%)","24.2%","29.1%",
"06","California","06037432602","Los Angeles County, CA - 06037432602","2020","25.7%","","(23.4% - 27.8%)","23.4%","27.8%",
"06","California","06037432700","Los Angeles County, CA - 06037432700","2020","32.9%","","(29.9% - 35.7%)","29.9%","35.7%",
"06","California","06037432801","Los Angeles County, CA - 06037432801","2020","36.9%","","(33.8% - 39.5%)","33.8%","39.5%",
"06","California","06037432802","Los Angeles County, CA - 06037432802","2020","31.9%","","(28.8% - 34.8%)","28.8%","34.8%",
"06","California","06037432901","Los Angeles County, CA - 06037432901","2020","23.5%","","(20.9% - 26.3%)","20.9%","26.3%",
"06","California","06037432902","Los Angeles County, CA - 06037432902","2020","24.9%","","(22.7% - 27.1%)","22.7%","27.1%",
"06","California","06037433101","Los Angeles County, CA - 06037433101","2020","30.9%","","(28.3% - 33.4%)","28.3%","33.4%",
"06","California","06037433102","Los Angeles County, CA - 06037433102","2020","30.6%","","(27.9% - 33.0%)","27.9%","33.0%",
"06","California","06037433200","Los Angeles County, CA - 06037433200","2020","30.3%","","(28.1% - 32.3%)","28.1%","32.3%",
"06","California","06037433302","Los Angeles County, CA - 06037433302","2020","34.1%","","(30.6% - 37.4%)","30.6%","37.4%",
"06","California","06037433304","Los Angeles County, CA - 06037433304","2020","31.8%","","(29.7% - 33.9%)","29.7%","33.9%",
"06","California","06037433305","Los Angeles County, CA - 06037433305","2020","30.2%","","(27.0% - 33.5%)","27.0%","33.5%",
"06","California","06037433306","Los Angeles County, CA - 06037433306","2020","27.9%","","(25.3% - 30.4%)","25.3%","30.4%",
"06","California","06037433307","Los Angeles County, CA - 06037433307","2020","28.6%","","(25.5% - 31.4%)","25.5%","31.4%",
"06","California","06037433401","Los Angeles County, CA - 06037433401","2020","33.3%","","(31.2% - 35.5%)","31.2%","35.5%",
"06","California","06037433402","Los Angeles County, CA - 06037433402","2020","31.2%","","(28.0% - 34.1%)","28.0%","34.1%",
"06","California","06037433403","Los Angeles County, CA - 06037433403","2020","31.6%","","(28.8% - 34.4%)","28.8%","34.4%",
"06","California","06037433501","Los Angeles County, CA - 06037433501","2020","35.4%","","(32.4% - 38.3%)","32.4%","38.3%",
"06","California","06037433503","Los Angeles County, CA - 06037433503","2020","31.9%","","(28.9% - 34.7%)","28.9%","34.7%",
"06","California","06037433504","Los Angeles County, CA - 06037433504","2020","35.0%","","(32.9% - 37.0%)","32.9%","37.0%",
"06","California","06037433601","Los Angeles County, CA - 06037433601","2020","27.7%","","(25.0% - 30.4%)","25.0%","30.4%",
"06","California","06037433602","Los Angeles County, CA - 06037433602","2020","31.3%","","(28.6% - 33.9%)","28.6%","33.9%",
"06","California","06037433700","Los Angeles County, CA - 06037433700","2020","29.8%","","(26.8% - 32.7%)","26.8%","32.7%",
"06","California","06037433801","Los Angeles County, CA - 06037433801","2020","31.0%","","(28.6% - 33.1%)","28.6%","33.1%",
"06","California","06037433802","Los Angeles County, CA - 06037433802","2020","25.3%","","(22.8% - 27.9%)","22.8%","27.9%",
"06","California","06037433901","Los Angeles County, CA - 06037433901","2020","34.3%","","(31.3% - 37.0%)","31.3%","37.0%",
"06","California","06037433902","Los Angeles County, CA - 06037433902","2020","27.5%","","(25.5% - 29.6%)","25.5%","29.6%",
"06","California","06037434001","Los Angeles County, CA - 06037434001","2020","29.7%","","(26.6% - 32.6%)","26.6%","32.6%",
"06","California","06037434003","Los Angeles County, CA - 06037434003","2020","29.8%","","(27.1% - 32.4%)","27.1%","32.4%",
"06","California","06037434004","Los Angeles County, CA - 06037434004","2020","26.7%","","(24.7% - 28.5%)","24.7%","28.5%",
"06","California","06037460000","Los Angeles County, CA - 06037460000","2020","13.5%","","(12.2% - 14.8%)","12.2%","14.8%",
"06","California","06037460100","Los Angeles County, CA - 06037460100","2020","12.9%","","(11.6% - 14.5%)","11.6%","14.5%",
"06","California","06037460200","Los Angeles County, CA - 06037460200","2020","15.0%","","(13.6% - 16.4%)","13.6%","16.4%",
"06","California","06037460301","Los Angeles County, CA - 06037460301","2020","17.4%","","(15.7% - 19.0%)","15.7%","19.0%",
"06","California","06037460302","Los Angeles County, CA - 06037460302","2020","20.1%","","(18.3% - 21.9%)","18.3%","21.9%",
"06","California","06037460401","Los Angeles County, CA - 06037460401","2020","24.3%","","(22.5% - 26.0%)","22.5%","26.0%",
"06","California","06037460501","Los Angeles County, CA - 06037460501","2020","11.9%","","(10.4% - 13.8%)","10.4%","13.8%",
"06","California","06037460502","Los Angeles County, CA - 06037460502","2020","11.2%","","(10.0% - 12.7%)","10.0%","12.7%",
"06","California","06037460600","Los Angeles County, CA - 06037460600","2020","11.8%","","(10.3% - 13.6%)","10.3%","13.6%",
"06","California","06037460700","Los Angeles County, CA - 06037460700","2020","12.2%","","(10.9% - 13.8%)","10.9%","13.8%",
"06","California","06037460800","Los Angeles County, CA - 06037460800","2020","11.7%","","(10.5% - 13.1%)","10.5%","13.1%",
"06","California","06037460900","Los Angeles County, CA - 06037460900","2020","20.4%","","(18.3% - 22.6%)","18.3%","22.6%",
"06","California","06037461000","Los Angeles County, CA - 06037461000","2020","22.2%","","(20.2% - 24.1%)","20.2%","24.1%",
"06","California","06037461100","Los Angeles County, CA - 06037461100","2020","19.4%","","(17.7% - 21.2%)","17.7%","21.2%",
"06","California","06037461200","Los Angeles County, CA - 06037461200","2020","13.7%","","(12.0% - 15.6%)","12.0%","15.6%",
"06","California","06037461300","Los Angeles County, CA - 06037461300","2020","16.0%","","(14.3% - 17.8%)","14.3%","17.8%",
"06","California","06037461400","Los Angeles County, CA - 06037461400","2020","18.2%","","(16.1% - 20.5%)","16.1%","20.5%",
"06","California","06037461501","Los Angeles County, CA - 06037461501","2020","18.9%","","(17.1% - 20.8%)","17.1%","20.8%",
"06","California","06037461502","Los Angeles County, CA - 06037461502","2020","25.8%","","(24.1% - 27.4%)","24.1%","27.4%",
"06","California","06037461600","Los Angeles County, CA - 06037461600","2020","25.0%","","(22.6% - 27.7%)","22.6%","27.7%",
"06","California","06037461700","Los Angeles County, CA - 06037461700","2020","13.9%","","(12.4% - 15.5%)","12.4%","15.5%",
"06","California","06037461901","Los Angeles County, CA - 06037461901","2020","23.4%","","(21.4% - 25.6%)","21.4%","25.6%",
"06","California","06037461902","Los Angeles County, CA - 06037461902","2020","18.8%","","(17.5% - 20.4%)","17.5%","20.4%",
"06","California","06037462001","Los Angeles County, CA - 06037462001","2020","29.1%","","(25.8% - 32.1%)","25.8%","32.1%",
"06","California","06037462002","Los Angeles County, CA - 06037462002","2020","33.0%","","(29.7% - 36.4%)","29.7%","36.4%",
"06","California","06037462100","Los Angeles County, CA - 06037462100","2020","22.9%","","(20.4% - 25.6%)","20.4%","25.6%",
"06","California","06037462201","Los Angeles County, CA - 06037462201","2020","22.8%","","(20.4% - 25.4%)","20.4%","25.4%",
"06","California","06037462202","Los Angeles County, CA - 06037462202","2020","15.0%","","(13.3% - 17.0%)","13.3%","17.0%",
"06","California","06037462301","Los Angeles County, CA - 06037462301","2020","23.5%","","(21.2% - 25.8%)","21.2%","25.8%",
"06","California","06037462302","Los Angeles County, CA - 06037462302","2020","16.4%","","(14.8% - 18.2%)","14.8%","18.2%",
